alpha,rho,k,accuracy
0.1,0.1,5,0.8085106382978723
0.9,0.1,5,0.8031914893617021
0.1,1.0,5,0.8297872340425532
0.9,1.0,5,0.8351063829787234
0.1,10.0,5,0.8670212765957447
0.9,10.0,5,0.8617021276595744
0.1,100.0,5,0.8563829787234043
0.9,100.0,5,0.8351063829787234
0.1,1000.0,5,0.8404255319148937
0.9,1000.0,5,0.8404255319148937
